Seq. Name	Seq. Description	Seq. Length	#Hits	min. eValue	mean Similarity	#GOs	GOs	Enzyme Codes	InterProScan
Be3_6628	---NA---	632	0			0	-			
Be3_6629	splicing factor 3a subunit 2	632	5	9.89215E-40	78.8%	3	F:nucleic acid binding; C:nucleus; F:binding	-		
Be3_6630	pyruvate kinase	632	5	0.0	73.0%	4	F:binding; F:kinase activity; P:metabolic process; F:nucleotide binding	-		
Be3_6631	---NA---	632	0			0	-			
Be3_6632	mitochondrial matrix iron-sulfur protein	632	5	1.24471E-49	77.4%	1	F:binding	-		
Be3_6633	protein kinase kin1	632	5	2.96316E-90	71.2%	3	F:protein kinase activity; P:metabolic process; F:nucleotide binding	-		
Be3_6634	vacuolar protein sorting-associated protein 36	631	5	8.15204E-25	41.8%	2	F:zinc ion binding; C:intracellular			
Be3_6635	ubiquitin-conjugating enzyme e2 2	631	5	5.24615E-59	92.2%	3	F:nucleotide binding; F:catalytic activity; P:cellular protein modification process	(6.3) Forming carbon-nitrogen bonds		
Be3_6636	triacylglycerol lipase	631	5	3.72596E-91	52.0%	1	P:lipid metabolic process			
Be3_6637	---NA---	631	0			0	-			
Be3_6638	---NA---	631	0			0	-			
Be3_6639	---NA---	631	0			0	-			
Be3_6640	---NA---	631	0			0	-			
Be3_6641	atp-dependent rna helicase ddx42-like	631	5	3.12314E-175	72.4%	2	F:hydrolase activity; F:nucleotide binding	-		
Be3_6642	trna-i a37 thiotransferase enzyme	631	5	5.89287E-81	72.6%	3	P:nucleobase-containing compound metabolic process; F:catalytic activity; F:binding	-		
Be3_6643	triglyceride lipase-cholesterol esterase	631	5	1.42759E-95	57.8%	2	P:lipid metabolic process; F:hydrolase activity			
Be3_6644	---NA---	631	0			0	-			
Be3_6645	severin kinase	631	5	7.8606E-29	77.4%	3	F:protein kinase activity; P:metabolic process; F:nucleotide binding	-		
Be3_6646	hypothetical protein BATDEDRAFT_85662	631	5	1.09851E-52	45.2%	1	F:hydrolase activity			
Be3_6647	---NA---	631	0			0	-			
Be3_6648	hypothetical protein RO3G_03287	631	5	3.39097E-173	65.6%	2	F:hydrolase activity; F:binding	-		
Be3_6649	wd repeat protein	631	5	2.37757E-24	47.0%	3	C:organelle; C:intracellular; C:cytoplasm	-		
Be3_6650	phosphoacetylglucosamine mutase	631	5	0.0	67.6%	0	-			
Be3_6651	peptidyl-prolyl cis-trans isomerase	631	5	5.01082E-139	69.8%	2	P:protein metabolic process; F:catalytic activity	-		
Be3_6652	hypothetical protein BATDEDRAFT_84593	631	5	2.23099E-80	57.4%	0	-			
Be3_6653	translation initiation factor eif-2b subunit alpha	631	5	1.38058E-80	61.0%	3	P:translational initiation; F:translation initiation factor activity; P:cellular metabolic process			
Be3_6654	transporter belonging to the mfs superfamily	631	5	1.50926E-34	57.8%	1	P:transmembrane transport			
Be3_6655	---NA---	630	0			0	-			
Be3_6656	cleft lip and palate transmembrane protein 1 homolog	630	5	1.1164E-100	64.6%	1	C:integral to membrane			
Be3_6657	---NA---	630	0			0	-			
Be3_6658	hypothetical protein HMPREF1120_03006	630	5	5.7409E-25	43.8%	0	-			
Be3_6659	cysteine desulfurase	630	5	1.14018E-180	77.0%	3	P:metabolic process; F:binding; F:catalytic activity	-		
Be3_6660	---NA---	630	0			0	-			
Be3_6661	---NA---	630	0			0	-			
Be3_6662	ubiquinone biosynthesis monooxygenase coq6	630	5	1.54731E-56	58.6%	7	P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; P:ubiquinone biosynthetic process; F:monooxygenase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of one atom of oxygen; F:flavin adenine dinucleotide binding			
Be3_6663	---NA---	630	0			0	-			
Be3_6664	---NA---	630	0			0	-			
Be3_6665	protein kinase domain containing protein	630	5	5.41704E-39	55.6%	5	F:ATP binding; F:protein kinase activity; F:nucleotide binding; P:protein phosphorylation; F:protein serine/threonine kinase activity			
Be3_6666	phosphate transporter 7	630	5	2.60132E-53	61.4%	7	C:integral to membrane; C:membrane; P:transmembrane transport; P:transport; F:transporter activity; P:phosphate ion transport; F:inorganic phosphate transmembrane transporter activity			
Be3_6667	pyroglutamyl-peptidase 1	630	5	4.57515E-26	51.0%	5	P:proteolysis; C:cytoplasm; F:cysteine-type peptidase activity; C:cytosol; F:peptidase activity			
Be3_6668	lipoyltransferase mitochondrial	630	5	5.42415E-53	59.6%	1	F:catalytic activity	-		
Be3_6669	probable platelet-activating factor acetylhydrolase ib alpha subunit	630	5	2.27463E-169	68.8%	2	C:cytoskeleton; P:biological_process	-		
Be3_6670	---NA---	630	0			0	-			
Be3_6671	ku70 ku80 beta-barrel domain-containing protein	630	5	1.05164E-43	41.6%	8	F:nucleic acid binding; P:response to ionizing radiation; F:binding; P:double-strand break repair via nonhomologous end joining; C:DNA-dependent protein kinase-DNA ligase 4 complex; C:nucleus; F:ATP-dependent DNA helicase activity; F:DNA binding			
Be3_6672	probable cdc40-pre-mrna splicing factor important for catalytic step ii	630	5	2.76953E-179	64.6%	0	-			
Be3_6673	---NA---	630	0			0	-			
Be3_6674	nuclear export factor	630	5	2.19723E-68	59.4%	0	-			
Be3_6675	---NA---	629	0			0	-			
Be3_6676	protein arginine methyltransferase isoform cra_c	629	5	4.0452E-109	61.0%	11	F:protein binding; P:cellular protein modification process; F:binding; C:cytoplasm; F:transferase activity; P:organelle organization; C:protein complex; P:regulation of biological process; C:nucleus; P:cellular component organization; P:nucleobase-containing compound metabolic process	-		
Be3_6677	---NA---	629	0			0	-			
Be3_6678	soluble nsf attachment	629	5	8.89286E-89	73.2%	2	F:binding; P:intracellular protein transport			
Be3_6679	glyceraldehyde-3-phosphate type i	629	5	8.44028E-162	81.2%	8	C:cytoplasm; F:nucleotide binding; P:carbohydrate metabolic process; P:generation of precursor metabolites and energy; P:catabolic process; F:catalytic activity; P:metabolic process; P:biosynthetic process	(1.2) Acting on the aldehyde or oxo group of donors		
Be3_6680	aldo keto reductase family protein	629	5	1.2621E-15	57.2%	0	-			
Be3_6681	---NA---	629	0			0	-			
Be3_6682	ampp1_nech7 ame: full=probable xaa-pro aminopeptidase p short=ampp short=aminopeptidase p ame: full=aminoacylproline aminopeptidase ame: full=prolidase	629	5	0.0	66.0%	5	F:metal ion binding; P:proteolysis; P:cellular process; F:hydrolase activity; F:metalloexopeptidase activity			
Be3_6683	yll023c-like protein	629	5	9.49789E-14	47.0%	4	C:organelle; C:intracellular; C:cytoplasm; C:cell	-		
Be3_6684	inorganic phosphate transporter pho84	629	5	1.70961E-96	58.8%	5	C:integral to membrane; C:membrane; P:transmembrane transport; P:transport; F:transporter activity			
Be3_6685	morn repeat protein	629	4	1.34116E-11	46.5%	1	F:binding			
Be3_6686	rna polymerase i specific transcription initiation factor rrn3 superfamily	629	5	9.91862E-76	50.6%	0	-			
Be3_6687	nuc156 family protein	629	5	8.48398E-25	53.0%	0	-			
Be3_6688	---NA---	629	0			0	-			
Be3_6689	pre-mrna-splicing factor 38a-like	629	5	4.77196E-67	78.0%	0	-			
Be3_6690	ribonucleotide reductase small subunit	628	5	3.44745E-172	88.2%	6	F:binding; P:metabolic process; F:catalytic activity; P:nucleobase-containing compound metabolic process; C:protein complex; C:cytoplasm	(1.1) Acting on the CH-OH group of donors		
Be3_6691	---NA---	628	0			0	-			
Be3_6692	---NA---	628	0			0	-			
Be3_6693	---NA---	628	0			0	-			
Be3_6694	---NA---	628	0			0	-			
Be3_6695	---NA---	628	0			0	-			
Be3_6696	heat shock 70 kda protein 2	628	5	0.0	84.2%	2	F:nucleotide binding; P:response to stress	-		
Be3_6697	dna-directed rna polymerase i and iii subunit rpc40	628	5	5.63071E-77	66.4%	9	F:transferase activity; C:cytosol; ; C:nucleolus; C:protein complex; P:regulation of biological process; P:cell cycle; C:nucleoplasm; P:nucleobase-containing compound metabolic process	(2.7) Transferring phosphorous-containing groups		
Be3_6698	---NA---	628	0			0	-			
Be3_6699	cystathionine gamma-synthase	628	5	1.01607E-123	54.0%	7	P:cellular amino acid metabolic process; F:catalytic activity; F:pyridoxal phosphate binding; F:cystathionine gamma-synthase activity; F:transferase activity; P:cellular amino acid biosynthetic process; P:methionine biosynthetic process			
Be3_6700	family with sequence similarity member b	628	5	4.40265E-82	52.0%	0	-			
Be3_6701	---NA---	628	0			0	-			
Be3_6702	rna-binding domain-containing protein	628	5	1.29807E-47	60.2%	2	F:nucleic acid binding; F:nucleotide binding			
Be3_6703	---NA---	628	0			0	-			
Be3_6704	---NA---	628	0			0	-			
Be3_6705	hypothetical protein BATDEDRAFT_92727	628	4	2.68193E-13	43.75%	0	-			
Be3_6706	---NA---	628	0			0	-			
Be3_6707	---NA---	628	0			0	-			
Be3_6708	tpa: map kinase kinase kinase	627	5	6.47324E-36	57.6%	5	F:ATP binding; F:protein kinase activity; F:nucleotide binding; P:protein phosphorylation; F:protein serine/threonine kinase activity			
Be3_6709	---NA---	627	0			0	-			
Be3_6710	protein	627	5	2.20636E-39	48.8%	4	F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:protein serine/threonine kinase activity			
Be3_6711	---NA---	627	0			0	-			
Be3_6712	related to pyruvate dehydrogenase kinase isoform mitochondrial	627	5	7.83181E-95	70.2%	4	F:protein kinase activity; P:metabolic process; P:signal transduction; C:protein complex	(2.7) Transferring phosphorous-containing groups		
Be3_6713	fad binding domain containing protein	627	5	3.17741E-117	60.4%	1	F:catalytic activity	-		
Be3_6714	thioesterase superfamily protein	627	5	8.85983E-17	45.4%	0	-			
Be3_6715	phytoene dehydrogenase	627	5	0.0	71.0%	1	P:biosynthetic process	-		
Be3_6716	t-complex protein 1 subunit eta	627	5	0.0	82.8%	4	P:protein metabolic process; C:cytoplasm; F:protein binding; F:nucleotide binding	-		
Be3_6717	---NA---	627	0			0	-			
Be3_6718	---NA---	627	0			0	-			
Be3_6719	acylamide-delta3 -desaturase	627	5	5.90161E-76	55.4%	0	-			
Be3_6720	---NA---	627	0			0	-			
Be3_6721	---NA---	627	0			0	-			
Be3_6722	serine threonine-protein kinase mark2-like	627	5	5.4017E-20	50.8%	6	F:kinase activity; F:ATP binding; F:protein kinase activity; P:phosphorylation; P:protein phosphorylation; F:protein serine/threonine kinase activity			
Be3_6723	---NA---	627	0			0	-			
Be3_6724	related to spa2 protein	627	5	1.77214E-31	83.2%	0	-			
Be3_6725	---NA---	627	0			0	-			
Be3_6726	ribosomal protein partial	627	5	3.48006E-34	67.4%	0	-			
Be3_6727	probable translation initiation factor eif2 gamma chain	627	5	0.0	91.2%	4	F:nucleotide binding; P:nucleobase-containing compound metabolic process; P:catabolic process; F:hydrolase activity	-		
Be3_6728	---NA---	626	0			0	-			
Be3_6729	ubiquitin-activating enzyme-like protein	626	5	3.51938E-143	59.0%	6	F:ATP binding; F:binding; P:metabolic process; F:small protein activating enzyme activity; F:catalytic activity; P:cellular protein modification process			
Be3_6730	---NA---	626	0			0	-			
Be3_6731	ankyrin repeat protein	626	5	3.12072E-26	42.6%	0	-			
Be3_6732	---NA---	626	0			0	-			
Be3_6733	---NA---	626	0			0	-			
Be3_6734	ribosome biogenesis gtpase	626	5	2.34274E-177	63.8%	2	F:GTP binding; C:intracellular			
Be3_6735	---NA---	626	0			0	-			
Be3_6736	5 -nucleotidase domain-containing protein	626	5	1.26529E-97	59.4%	2	P:nucleotide catabolic process; F:hydrolase activity			
Be3_6737	---NA---	626	0			0	-			
Be3_6738	---NA---	626	0			0	-			
Be3_6739	---NA---	626	0			0	-			
Be3_6740	---NA---	626	0			0	-			
Be3_6741	retinal guanylate cyclase	626	5	0.0	68.8%	3	F:catalytic activity; P:nucleobase-containing compound metabolic process; P:biosynthetic process	-		
Be3_6742	predicted protein	626	1	1.36218E-15	38.0%	0	-			
Be3_6743	hypothetical protein BATDEDRAFT_23531	626	2	3.20637E-42	62.5%	0	-			
Be3_6744	---NA---	626	0			0	-			
Be3_6745	lysine acetyltransferase	625	5	1.7432E-14	42.4%	0	-			
Be3_6746	40s ribosomal protein s13	625	5	2.29457E-29	91.8%	4	C:ribosome; F:structural molecule activity; P:translation; P:biological_process	-		
Be3_6747	---NA---	625	0			0	-			
Be3_6748	---NA---	625	0			0	-			
Be3_6749	---NA---	625	0			0	-			
Be3_6750	camk camkl	625	5	2.33329E-51	62.2%	7	F:kinase activity; F:ATP binding; F:protein kinase activity; P:phosphorylation; F:nucleotide binding; P:protein phosphorylation; F:protein serine/threonine kinase activity			
Be3_6751	ser thr kinase stk11	625	5	6.29578E-88	58.8%	7	F:kinase activity; F:ATP binding; F:protein kinase activity; P:phosphorylation; F:nucleotide binding; P:protein phosphorylation; F:protein serine/threonine kinase activity			
Be3_6752	---NA---	625	0			0	-			
Be3_6753	g-protein subunit alpha 8	625	5	7.91361E-72	60.6%	6	F:GTP binding; F:guanyl nucleotide binding; F:signal transducer activity; F:nucleotide binding; P:signal transduction; P:G-protein coupled receptor signaling pathway			
Be3_6754	---NA---	625	0			0	-			
Be3_6755	acid phosphatase	625	5	4.58417E-40	40.0%	0	-			
Be3_6756	phosphatidate cytidylyltransferase	625	5	1.38198E-138	69.2%	1	F:transferase activity	-		
Be3_6757	---NA---	625	0			0	-			
Be3_6758	duf1212-domain-containing protein	625	5	1.14266E-13	54.6%	0	-			
Be3_6759	histone deacetylase 3-like	625	5	7.95791E-155	73.4%	6	P:organelle organization; P:primary metabolic process; P:metabolic process; F:hydrolase activity; C:nucleoplasm; C:protein complex	-		
Be3_6760	nad -binding protein	625	5	1.62386E-69	56.4%	7	C:integral to membrane; C:membrane; P:sodium ion transport; P:transmembrane transport; P:ion transport; P:transport; F:transporter activity			
Be3_6761	chaperone hsp104 and related atp-dependent clp proteases	625	5	4.41754E-26	45.4%	0	-			
Be3_6762	adaptor protein complex ap-3 delta subunit	625	5	4.76141E-91	58.8%	0	-			
Be3_6763	dead-domain-containing protein	625	5	0.0	78.0%	0	-			
Be3_6764	---NA---	625	0			0	-			
Be3_6765	---NA---	625	0			0	-			
Be3_6766	---NA---	624	0			0	-			
Be3_6767	intraflagellar transport protein 74 homolog	624	5	3.08219E-90	51.4%	3	F:molecular_function; P:biological_process; C:cellular_component			
Be3_6768	---NA---	624	0			0	-			
Be3_6769	---NA---	624	0			0	-			
Be3_6770	low quality protein: hbs1-like protein	624	5	3.52551E-137	69.2%	3	P:translation; F:binding; P:signal transduction	-		
Be3_6771	---NA---	624	0			0	-			
Be3_6772	reverse transcriptase	624	5	6.41863E-42	43.4%	7	F:RNA binding; P:RNA-dependent DNA replication; F:RNA-directed DNA polymerase activity; P:DNA methylation; F:site-specific DNA-methyltransferase (adenine-specific) activity; P:DNA methylation on adenine; F:DNA binding			
Be3_6773	lysine acetyltransferase	624	5	9.61954E-20	47.2%	2	P:metabolic process; F:N-acetyltransferase activity			
Be3_6774	---NA---	624	0			0	-			
Be3_6775	---NA---	624	0			0	-			
Be3_6776	---NA---	624	0			0	-			
Be3_6777	enth-domain-containing protein	624	5	4.58123E-43	70.8%	0	-			
Be3_6778	protein arginine n-methyltransferase 5 isoform 2	624	5	5.18086E-133	54.6%	3	P:primary metabolic process; C:protein complex; P:metabolic process	-		
Be3_6779	---NA---	624	0			0	-			
Be3_6780	---NA---	624	0			0	-			
Be3_6781	---NA---	624	0			0	-			
Be3_6782	predicted protein	624	1	2.64736E-14	39.0%	0	-			
Be3_6783	---NA---	624	0			0	-			
Be3_6784	---NA---	624	0			0	-			
Be3_6785	hypothetical protein BATDEDRAFT_23035	624	5	1.38402E-65	51.8%	7	C:integral to membrane; C:membrane; C:mitochondrial inner membrane; P:protein transport; F:protein transporter activity; P:metabolic process; F:transferase activity, transferring hexosyl groups			
Be3_6786	e3 ubiquitin ligase	623	5	0.0	71.2%	2	F:metal ion binding; F:zinc ion binding			
Be3_6787	---NA---	623	0			0	-			
Be3_6788	related to serine threonine protein kinase	623	5	7.01005E-120	71.8%	0	-			
Be3_6789	---NA---	623	0			0	-			
Be3_6790	hypothetical protein AOL_s00110g2	623	5	1.01617E-17	53.6%	1	C:cytoplasmic membrane-bounded vesicle			
Be3_6791	---NA---	623	0			0	-			
Be3_6792	---NA---	623	0			0	-			
Be3_6793	---NA---	623	0			0	-			
Be3_6794	---NA---	623	0			0	-			
Be3_6795	protein isoform a	623	5	5.91047E-56	54.0%	3	F:catalytic activity; F:protein binding; P:metabolic process			
Be3_6796	phosphoserine phosphatase	623	5	5.04955E-177	61.4%	1	F:catalytic activity	-		
Be3_6797	dual specificity tyrosine-phosphorylation-regulated kinase 4-like	623	5	5.53399E-150	69.2%	5	F:ATP binding; F:protein kinase activity; F:nucleotide binding; P:protein phosphorylation; F:protein serine/threonine kinase activity			
Be3_6798	ubiquitin-specific protease	623	5	1.33343E-44	54.6%	0	-			
Be3_6799	hypothetical protein RO3G_11635	623	5	1.99213E-50	51.4%	5	C:endoplasmic reticulum membrane; P:protein N-linked glycosylation via asparagine; F:transferase activity; F:dolichyl-diphosphooligosaccharide-protein glycotransferase activity; F:transferase activity, transferring glycosyl groups			
Be3_6800	predicted protein	623	1	7.1139E-15	44.0%	0	-			
Be3_6801	---NA---	622	0			0	-			
Be3_6802	---NA---	622	0			0	-			
Be3_6803	---NA---	622	0			0	-			
Be3_6804	transmembrane clptm1 family protein	622	5	1.216E-76	63.6%	1	C:integral to membrane			
Be3_6805	elongator complex protein 3	622	5	0.0	88.0%	0	-			
Be3_6806	---NA---	622	0			0	-			
Be3_6807	---NA---	622	0			0	-			
Be3_6808	---NA---	622	0			0	-			
Be3_6809	g-protein alpha subunit	622	5	3.3327E-66	67.8%	0	-			
Be3_6810	cyclic nucleotide-binding protein	622	5	6.77778E-76	54.4%	8	F:voltage-gated potassium channel activity; C:integral to membrane; C:membrane; P:transmembrane transport; P:potassium ion transport; P:ion transport; F:ion channel activity; P:transport			
Be3_6811	pentatricopeptide repeat-containing protein	622	5	8.81579E-16	48.6%	1	F:binding			
Be3_6812	---NA---	622	0			0	-			
Be3_6813	---NA---	622	0			0	-			
Be3_6814	---NA---	622	0			0	-			
Be3_6815	---NA---	622	0			0	-			
Be3_6816	---NA---	622	0			0	-			
Be3_6817	---NA---	622	0			0	-			
Be3_6818	hypothetical protein BATDEDRAFT_9371	622	5	2.75055E-120	67.4%	1	P:lipid biosynthetic process			
Be3_6819	---NA---	622	0			0	-			
Be3_6820	ankyrin repeat protein	622	5	1.545E-44	52.0%	0	-			
Be3_6821	predicted protein	622	5	3.15368E-37	53.4%	3	P:oxidation-reduction process; F:oxidoreductase activity; F:transition metal ion binding			
Be3_6822	wd40 repeat-like protein	622	5	6.69894E-37	44.4%	0	-			
Be3_6823	---NA---	622	0			0	-			
Be3_6824	hypothetical protein EDEG_00191	622	5	5.97458E-47	59.4%	0	-			
Be3_6825	abc atp-binding protein isoform 1	622	5	4.30741E-131	61.2%	0	-			
Be3_6826	predicted protein	622	1	8.37494E-13	41.0%	0	-			
Be3_6827	protein shq1 homolog	621	5	2.13289E-44	46.0%	0	-			
Be3_6828	---NA---	621	0			0	-			
Be3_6829	---NA---	621	0			0	-			
Be3_6830	probable kex2-endoproteinase of late golgi compartment	621	5	1.87138E-107	61.8%	1	F:hydrolase activity	-		
Be3_6831	---NA---	621	0			0	-			
Be3_6832	sodium calcium exchanger protein	621	5	1.10309E-27	70.2%	3	C:integral to membrane; C:membrane; P:transmembrane transport			
Be3_6833	---NA---	621	0			0	-			
Be3_6834	magnesium transporter	621	5	7.85042E-57	60.8%	0	-			
Be3_6835	---NA---	621	0			0	-			
Be3_6836	---NA---	621	0			0	-			
Be3_6837	---NA---	621	0			0	-			
Be3_6838	---NA---	621	0			0	-			
Be3_6839	---NA---	621	0			0	-			
Be3_6840	---NA---	621	0			0	-			
Be3_6841	mitochondrial carrier	621	5	2.77543E-55	60.0%	6	C:integral to membrane; C:membrane; P:transport; F:binding; P:transmembrane transport; C:mitochondrial inner membrane			
Be3_6842	---NA---	621	0			0	-			
Be3_6843	---NA---	621	0			0	-			
Be3_6844	---NA---	620	0			0	-			
Be3_6845	nima (never in mitosis gene a)-related expressed kinase isoform cra_c	620	5	1.04086E-42	53.8%	1	F:transferase activity	-		
Be3_6846	---NA---	620	0			0	-			
Be3_6847	candidate lipase esterase from carbohydrate esterase family ce10	620	5	1.2382E-21	46.0%	2	F:hydrolase activity; P:metabolic process			
Be3_6848	---NA---	620	0			0	-			
Be3_6849	hypothetical protein STEHIDRAFT_141068	620	5	9.0778E-68	58.0%	0	-			
Be3_6850	hypothetical protein RO3G_13825	620	5	2.35979E-67	63.4%	0	-			
Be3_6851	unnamed protein product	620	5	9.28544E-15	59.0%	0	-			
Be3_6852	atp synthase subunit beta	620	5	0.0	90.6%	9	C:intracellular; C:protein complex; P:generation of precursor metabolites and energy; P:nucleobase-containing compound metabolic process; P:ion transport; P:biosynthetic process; F:hydrolase activity; F:transporter activity; F:nucleotide binding	(3.6) Acting on acid anhydrides		
Be3_6853	dead deah box rna	620	5	6.31955E-46	46.6%	5	F:helicase activity; F:nucleic acid binding; F:ATP binding; F:hydrolase activity; F:ATP-dependent helicase activity			
Be3_6854	cation channel sperm-associated protein 2-like	620	5	3.44248E-58	53.8%	6	C:integral to membrane; C:membrane; P:transmembrane transport; P:ion transport; F:ion channel activity; P:transport			
Be3_6855	protein fam116b	620	5	1.61227E-81	52.0%	0	-			
Be3_6856	---NA---	620	0			0	-			
Be3_6857	family transporter	620	5	6.40132E-89	57.4%	2	C:vacuole; C:Golgi apparatus	-		
Be3_6858	---NA---	620	0			0	-			
Be3_6859	leucine-rich repeat-containing protein 51	619	5	9.76536E-20	57.8%	0	-			
Be3_6860	related to ape2 aminopeptidase yscii ec:	619	5	0.0	62.6%	0	-			
Be3_6861	---NA---	619	0			0	-			
Be3_6862	---NA---	619	0			0	-			
Be3_6863	ctp synthase	619	5	0.0	78.4%	0	-			
Be3_6864	temporarily assigned gene name family member (tag-165)-like	619	5	2.41362E-44	58.2%	4	P:oxidation-reduction process; F:oxidoreductase activity; F:iron ion binding; F:FMN binding			
Be3_6865	signal recognition particle 54kda	619	5	0.0	74.6%	12	F:binding; C:cytosol; C:cytoplasm; C:nucleolus; F:RNA binding; P:cellular component organization; P:protein transport; F:nucleotide binding; P:nucleobase-containing compound metabolic process; P:catabolic process; F:hydrolase activity; P:biological_process	-		
Be3_6866	---NA---	619	0			0	-			
Be3_6867	60s acidic ribosomal protein p2	619	5	3.86051E-17	72.0%	1	C:intracellular	-		
Be3_6868	---NA---	619	0			0	-			
Be3_6869	---NA---	619	0			0	-			
Be3_6870	ca-transporting atpase	619	5	2.63289E-95	67.4%	2	F:hydrolase activity; P:metabolic process	-		
Be3_6871	transcription elongation factor	619	5	5.24594E-40	54.2%	3	P:biosynthetic process; P:metabolic process; P:primary metabolic process	-		
Be3_6872	hypothetical protein BATDEDRAFT_89716	619	1	1.20608E-12	46.0%	0	-			
Be3_6873	v-type proton atpase catalytic subunit a	619	5	0.0	87.6%	10	P:generation of precursor metabolites and energy; P:nucleobase-containing compound metabolic process; P:ion transport; P:biosynthetic process; F:transporter activity; F:nucleotide binding; F:hydrolase activity; C:cell; C:protein complex; C:intracellular	-		
Be3_6874	duf500 and sh3 domain protein	619	5	7.44084E-73	76.8%	0	-			
Be3_6875	---NA---	619	0			0	-			
Be3_6876	---NA---	618	0			0	-			
Be3_6877	predicted protein	618	1	7.7321E-14	43.0%	0	-			
Be3_6878	---NA---	618	0			0	-			
Be3_6879	---NA---	618	0			0	-			
Be3_6880	---NA---	618	0			0	-			
Be3_6881	---NA---	618	0			0	-			
Be3_6882	hypothetical protein BATDEDRAFT_25345	618	1	5.47458E-23	51.0%	0	-			
Be3_6883	peptidyl-prolyl cis-trans isomerase b	618	5	5.74034E-62	62.6%	4	F:peptidyl-prolyl cis-trans isomerase activity; P:protein folding; P:protein peptidyl-prolyl isomerization; F:isomerase activity			
Be3_6884	---NA---	618	0			0	-			
Be3_6885	ribonuclease iii	618	5	6.7637E-48	61.2%	5	F:RNA binding; F:ribonuclease III activity; P:RNA processing; F:double-stranded RNA binding; C:intracellular			
Be3_6886	---NA---	618	0			0	-			
Be3_6887	---NA---	618	0			0	-			
Be3_6888	---NA---	618	0			0	-			
Be3_6889	bckd_bovin ame: full=	618	5	2.2627E-78	57.6%	2	P:biological_process; F:protein kinase activity	-		
Be3_6890	peptidase s8 and s53 subtilisin kexin sedolisin	618	5	2.15066E-36	54.2%	7	P:proteolysis; F:serine-type endopeptidase activity; F:serine-type peptidase activity; F:hydrolase activity; P:negative regulation of catalytic activity; F:peptidase activity; F:identical protein binding			
Be3_6891	hypothetical protein AURDEDRAFT_183568, partial	618	5	1.05992E-21	56.4%	0	-			
Be3_6892	---NA---	618	0			0	-			
Be3_6893	t-complex protein 1 subunit alpha	618	5	0.0	84.0%	4	P:protein metabolic process; C:cytoplasm; F:protein binding; F:nucleotide binding	-		
Be3_6894	hypothetical protein RO3G_03234	617	5	9.90649E-14	65.8%	0	-			
Be3_6895	glycerol-3-phosphate transporter	617	5	7.6753E-31	51.8%	1	P:transmembrane transport			
Be3_6896	methylenetetrahydrofolate reduct	617	5	0.0	71.8%	0	-			
Be3_6897	carbonate dehydratase	617	5	1.60872E-39	55.2%	0	-			
Be3_6898	ankyrin repeats (3 copies) domain-containing protein	617	5	2.5048E-20	72.6%	0	-			
Be3_6899	integrator complex subunit 4	617	5	5.53498E-25	43.6%	4	F:binding; C:membrane coat; P:vesicle-mediated transport; P:intracellular protein transport			
Be3_6900	---NA---	617	0			0	-			
Be3_6901	cystathionine beta-lyase	617	5	8.5906E-60	54.8%	6	P:cellular amino acid metabolic process; F:catalytic activity; F:pyridoxal phosphate binding; F:lyase activity; F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; P:carbohydrate metabolic process			
Be3_6902	---NA---	617	0			0	-			
Be3_6903	cyclic nucleotide-binding domain containing protein	617	5	2.59243E-23	49.8%	0	-			
Be3_6904	---NA---	617	0			0	-			
Be3_6905	---NA---	617	0			0	-			
Be3_6906	---NA---	617	0			0	-			
Be3_6907	---NA---	617	0			0	-			
Be3_6908	---NA---	617	0			0	-			
Be3_6909	---NA---	617	0			0	-			
Be3_6910	---NA---	617	0			0	-			
Be3_6911	---NA---	617	0			0	-			
Be3_6912	ubx domain-containing protein 7	617	5	2.04424E-48	53.4%	0	-			
Be3_6913	ubiquitin-activating enzyme-like protein	616	5	3.36681E-144	60.2%	6	F:ATP binding; F:binding; P:metabolic process; F:small protein activating enzyme activity; F:catalytic activity; P:cellular protein modification process			
Be3_6914	---NA---	616	0			0	-			
Be3_6915	---NA---	616	0			0	-			
Be3_6916	---NA---	616	0			0	-			
Be3_6917	chaps family protein	616	5	2.99997E-114	60.8%	1	F:binding			
Be3_6918	glu leu phe val dehydrogenase	616	5	1.95669E-91	54.0%	6	P:oxidation-reduction process; P:cellular amino acid metabolic process; F:binding; F:oxidoreductase activity; P:metabolic process; F:catalytic activity			
Be3_6919	---NA---	616	0			0	-			
Be3_6920	---NA---	616	0			0	-			
Be3_6921	---NA---	616	0			0	-			
Be3_6922	---NA---	616	0			0	-			
Be3_6923	---NA---	616	0			0	-			
Be3_6924	amino acid transport protein	615	5	1.62267E-22	42.2%	7	F:amino acid transmembrane transporter activity; P:amino acid transport; C:integral to membrane; C:membrane; P:transmembrane transport; P:amino acid transmembrane transport; P:transport			
Be3_6925	probable lrr receptor-like serine threonine-protein kinase at1g34110-like	615	3	4.82667E-11	57.0%	11	C:integral to membrane; C:membrane; P:phosphorylation; F:2-alkenal reductase [NAD(P)] activity; F:protein kinase activity; P:protein phosphorylation; F:ATP binding; P:oxidation-reduction process; F:kinase activity; F:oxidoreductase activity; F:receptor activity			
